id , title                               , description                                                                                           , price , category      , brand     , rating, msrp  , discount_pct, stock, availability, payment_methods      , installment_available, max_installments, shipping_days, budget_band, tags
  1, Portable Hoodie                     , This portable hoodie by ActiveGear is a top-tier choice in our fashion section.                       , 292.45, Fashion       , ActiveGear,    3.1, 324.94,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , fashion;midrange
  2, Ergonomic Cookbook                  , This ergonomic cookbook by Vanguard is a top-tier choice in our books section.                        , 319.20, Books         , Vanguard  ,    3.9, 354.67,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
  3, Premium Jump Rope                   , This premium jump rope by StyleCo is a top-tier choice in our sports section.                         , 202.19, Sports        , StyleCo   ,    4.6, 224.66,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
  4, Premium Hair Dryer                  , This premium hair dryer by HomeEase is a top-tier choice in our beauty section.                       , 481.08, Beauty        , HomeEase  ,    4.0, 534.53,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
  5, High-Performance Digital Camera     , This high-performance digital camera by StyleCo is a top-tier choice in our electronics section.      ,  16.63, Electronics   , StyleCo   ,    4.2,  18.48,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , electronics;budget
  6, Ergonomic Jump Rope                 , This ergonomic jump rope by TechNova is a top-tier choice in our sports section.                      , 320.97, Sports        , TechNova  ,    3.3, 356.63,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
  7, Portable Sunglasses                 , This portable sunglasses by Vanguard is a top-tier choice in our fashion section.                     , 211.78, Fashion       , Vanguard  ,    4.0, 235.31,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
  8, Ergonomic Toaster                   , This ergonomic toaster by HomeEase is a top-tier choice in our home & kitchen section.                , 319.05, Home & Kitchen, HomeEase  ,    3.5, 354.50,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
  9, High-Performance Running Shoes      , This high-performance running shoes by BookWorm is a top-tier choice in our fashion section.          , 495.89, Fashion       , BookWorm  ,    4.5, 550.99,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
 10, Waterproof Air Fryer                , This waterproof air fryer by Zenith is a top-tier choice in our home & kitchen section.               , 183.41, Home & Kitchen, Zenith    ,    3.2, 203.79,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
 11, Lightweight Cookbook                , This lightweight cookbook by Zenith is a top-tier choice in our books section.                        , 291.09, Books         , Zenith    ,    5.0, 323.43,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , books;midrange
 12, Durable Shampoo                     , This durable shampoo by StyleCo is a top-tier choice in our beauty section.                           , 450.38, Beauty        , StyleCo   ,    4.1, 500.42,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
 13, Ergonomic Water Bottle              , This ergonomic water bottle by Zenith is a top-tier choice in our sports section.                     ,  83.13, Sports        , Zenith    ,    4.4,  92.37,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , sports;budget
 14, Portable Sunglasses                 , This portable sunglasses by Apex is a top-tier choice in our fashion section.                         , 156.60, Fashion       , Apex      ,    4.2, 174.00,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
 15, Ergonomic E-reader                  , This ergonomic e-reader by Zenith is a top-tier choice in our electronics section.                    , 101.64, Electronics   , Zenith    ,    4.6, 112.93,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
 16, Ergonomic Blender                   , This ergonomic blender by HomeEase is a top-tier choice in our home & kitchen section.                ,  34.38, Home & Kitchen, HomeEase  ,    3.3,  38.20,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , home & kitchen;budget
 17, Waterproof Dumbbells                , This waterproof dumbbells by BookWorm is a top-tier choice in our sports section.                     , 212.00, Sports        , BookWorm  ,    4.4, 235.56,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
 18, Stylish Air Fryer                   , This stylish air fryer by Apex is a top-tier choice in our home & kitchen section.                    ,  10.92, Home & Kitchen, Apex      ,    3.8,  12.13,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , home & kitchen;budget
 19, Portable Cookbook                   , This portable cookbook by HomeEase is a top-tier choice in our books section.                         , 356.28, Books         , HomeEase  ,    4.8, 395.87,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
 20, Portable Knife Set                  , This portable knife set by Vanguard is a top-tier choice in our home & kitchen section.               ,  24.22, Home & Kitchen, Vanguard  ,    4.3,  26.91,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , home & kitchen;budget
 21, Stylish Backpack                    , This stylish backpack by BookWorm is a top-tier choice in our fashion section.                        , 498.27, Fashion       , BookWorm  ,    4.7, 553.63,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
 22, Stylish Cookbook                    , This stylish cookbook by Vanguard is a top-tier choice in our books section.                          ,  15.27, Books         , Vanguard  ,    3.6,  16.97,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
 23, Lightweight Yoga Mat                , This lightweight yoga mat by TechNova is a top-tier choice in our sports section.                     , 446.71, Sports        , TechNova  ,    4.1, 496.34,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
 24, Lightweight Mystery Paperback       , This lightweight mystery paperback by ActiveGear is a top-tier choice in our books section.           ,  31.28, Books         , ActiveGear,    3.5,  34.76,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
 25, Ergonomic Backpack                  , This ergonomic backpack by Apex is a top-tier choice in our fashion section.                          , 266.30, Fashion       , Apex      ,    4.0, 295.89,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , fashion;midrange
 26, Lightweight Self-Help Guide         , This lightweight self-help guide by Apex is a top-tier choice in our books section.                   ,  34.59, Books         , Apex      ,    5.0,  38.43,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
 27, Ergonomic Hardcover Novel           , This ergonomic hardcover novel by GlowUp is a top-tier choice in our books section.                   , 464.97, Books         , GlowUp    ,    3.1, 516.63,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
 28, Ergonomic Hoodie                    , This ergonomic hoodie by HomeEase is a top-tier choice in our fashion section.                        , 373.74, Fashion       , HomeEase  ,    4.5, 415.27,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
 29, Portable Blender                    , This portable blender by TechNova is a top-tier choice in our home & kitchen section.                 , 454.47, Home & Kitchen, TechNova  ,    3.9, 504.97,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
 30, Premium Mystery Paperback           , This premium mystery paperback by HomeEase is a top-tier choice in our books section.                 , 212.89, Books         , HomeEase  ,    4.3, 236.54,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
 31, Durable Hoodie                      , This durable hoodie by TechNova is a top-tier choice in our fashion section.                          , 291.32, Fashion       , TechNova  ,    3.9, 323.69,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , fashion;midrange
 32, Premium Cookbook                    , This premium cookbook by BookWorm is a top-tier choice in our books section.                          , 261.72, Books         , BookWorm  ,    4.3, 290.80,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , books;midrange
 33, Lightweight Wireless Headphones     , This lightweight wireless headphones by Zenith is a top-tier choice in our electronics section.       ,  49.84, Electronics   , Zenith    ,    3.3,  55.38,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , electronics;budget
 34, Lightweight Hair Dryer              , This lightweight hair dryer by Vanguard is a top-tier choice in our beauty section.                   , 437.18, Beauty        , Vanguard  ,    3.0, 485.76,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
 35, High-Performance Jump Rope          , This high-performance jump rope by Vanguard is a top-tier choice in our sports section.               , 178.40, Sports        , Vanguard  ,    4.6, 198.22,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
 36, Lightweight Self-Help Guide         , This lightweight self-help guide by StyleCo is a top-tier choice in our books section.                ,  47.26, Books         , StyleCo   ,    3.8,  52.51,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
 37, Lightweight Running Shoes           , This lightweight running shoes by GlowUp is a top-tier choice in our fashion section.                 , 493.20, Fashion       , GlowUp    ,    4.9, 548.00,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
 38, Ergonomic Hardcover Novel           , This ergonomic hardcover novel by Vanguard is a top-tier choice in our books section.                 , 111.56, Books         , Vanguard  ,    3.1, 123.96,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
 39, Durable Yoga Mat                    , This durable yoga mat by GlowUp is a top-tier choice in our sports section.                           , 244.56, Sports        , GlowUp    ,    4.1, 271.73,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
 40, Stylish Dumbbells                   , This stylish dumbbells by HomeEase is a top-tier choice in our sports section.                        ,  79.47, Sports        , HomeEase  ,    5.0,  88.30,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , sports;budget
 41, Waterproof Bluetooth Speaker        , This waterproof bluetooth speaker by TechNova is a top-tier choice in our electronics section.        , 304.66, Electronics   , TechNova  ,    4.2, 338.51,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 42, Ergonomic Cookbook                  , This ergonomic cookbook by ActiveGear is a top-tier choice in our books section.                      , 128.24, Books         , ActiveGear,    4.8, 142.49,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
 43, Ergonomic Blender                   , This ergonomic blender by TechNova is a top-tier choice in our home & kitchen section.                , 264.12, Home & Kitchen, TechNova  ,    3.6, 293.47,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
 44, Ergonomic Sunglasses                , This ergonomic sunglasses by TechNova is a top-tier choice in our fashion section.                    ,  18.05, Fashion       , TechNova  ,    3.9,  20.06,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
 45, Lightweight Wireless Headphones     , This lightweight wireless headphones by StyleCo is a top-tier choice in our electronics section.      ,  86.56, Electronics   , StyleCo   ,    4.7,  96.18,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , electronics;budget
 46, Stylish Air Fryer                   , This stylish air fryer by Apex is a top-tier choice in our home & kitchen section.                    , 488.15, Home & Kitchen, Apex      ,    3.6, 542.39,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
 47, Ergonomic Blender                   , This ergonomic blender by Vanguard is a top-tier choice in our home & kitchen section.                , 353.71, Home & Kitchen, Vanguard  ,    4.8, 393.01,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
 48, Durable Running Shoes               , This durable running shoes by StyleCo is a top-tier choice in our fashion section.                    , 197.89, Fashion       , StyleCo   ,    3.4, 219.88,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
 49, Lightweight Tennis Racket           , This lightweight tennis racket by Zenith is a top-tier choice in our sports section.                  , 164.35, Sports        , Zenith    ,    4.4, 182.61,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
 50, Lightweight Smart Watch             , This lightweight smart watch by ActiveGear is a top-tier choice in our electronics section.           , 492.10, Electronics   , ActiveGear,    4.1, 546.78,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 51, Portable Self-Help Guide            , This portable self-help guide by BookWorm is a top-tier choice in our books section.                  , 284.25, Books         , BookWorm  ,    4.4, 315.83,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , books;midrange
 52, Ergonomic Wireless Headphones       , This ergonomic wireless headphones by Apex is a top-tier choice in our electronics section.           , 306.15, Electronics   , Apex      ,    4.3, 340.17,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 53, Portable Mystery Paperback          , This portable mystery paperback by GlowUp is a top-tier choice in our books section.                  , 433.82, Books         , GlowUp    ,    4.5, 482.02,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
 54, High-Performance Self-Help Guide    , This high-performance self-help guide by TechNova is a top-tier choice in our books section.          , 132.06, Books         , TechNova  ,    3.5, 146.73,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
 55, Durable Coffee Maker                , This durable coffee maker by Zenith is a top-tier choice in our home & kitchen section.               , 153.97, Home & Kitchen, Zenith    ,    3.3, 171.08,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
 56, Premium Self-Help Guide             , This premium self-help guide by TechNova is a top-tier choice in our books section.                   , 484.86, Books         , TechNova  ,    4.6, 538.73,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
 57, Premium Shampoo                     , This premium shampoo by Vanguard is a top-tier choice in our beauty section.                          , 137.86, Beauty        , Vanguard  ,    3.9, 153.18,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
 58, Portable Cookbook                   , This portable cookbook by Zenith is a top-tier choice in our books section.                           , 135.55, Books         , Zenith    ,    3.2, 150.61,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
 59, Premium Dumbbells                   , This premium dumbbells by Zenith is a top-tier choice in our sports section.                          , 364.98, Sports        , Zenith    ,    3.7, 405.53,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
 60, Portable Hoodie                     , This portable hoodie by Vanguard is a top-tier choice in our fashion section.                         , 329.21, Fashion       , Vanguard  ,    3.3, 365.79,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
 61, Premium Hair Dryer                  , This premium hair dryer by StyleCo is a top-tier choice in our beauty section.                        ,  37.29, Beauty        , StyleCo   ,    3.9,  41.43,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , beauty;budget
 62, Premium Yoga Mat                    , This premium yoga mat by BookWorm is a top-tier choice in our sports section.                         , 419.65, Sports        , BookWorm  ,    4.2, 466.28,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
 63, Waterproof Face Cream               , This waterproof face cream by ActiveGear is a top-tier choice in our beauty section.                  , 175.91, Beauty        , ActiveGear,    3.5, 195.46,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
 64, Portable Shampoo                    , This portable shampoo by HomeEase is a top-tier choice in our beauty section.                         , 443.72, Beauty        , HomeEase  ,    4.8, 493.02,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
 65, Waterproof Hardcover Novel          , This waterproof hardcover novel by Zenith is a top-tier choice in our books section.                  , 161.94, Books         , Zenith    ,    4.2, 179.93,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
 66, Ergonomic Digital Camera            , This ergonomic digital camera by Vanguard is a top-tier choice in our electronics section.            , 476.33, Electronics   , Vanguard  ,    4.8, 529.26,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 67, Stylish Yoga Mat                    , This stylish yoga mat by Zenith is a top-tier choice in our sports section.                           ,  66.24, Sports        , Zenith    ,    3.3,  73.60,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , sports;budget
 68, Premium History Text                , This premium history text by TechNova is a top-tier choice in our books section.                      , 435.22, Books         , TechNova  ,    4.0, 483.58,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
 69, High-Performance Bluetooth Speaker  , This high-performance bluetooth speaker by Vanguard is a top-tier choice in our electronics section.  , 136.82, Electronics   , Vanguard  ,    3.1, 152.02,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
 70, Portable Wireless Headphones        , This portable wireless headphones by BookWorm is a top-tier choice in our electronics section.        , 370.11, Electronics   , BookWorm  ,    3.1, 411.23,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 71, High-Performance Leather Belt       , This high-performance leather belt by Vanguard is a top-tier choice in our fashion section.           ,  96.35, Fashion       , Vanguard  ,    4.8, 107.06,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
 72, Waterproof Hair Dryer               , This waterproof hair dryer by TechNova is a top-tier choice in our beauty section.                    ,  43.71, Beauty        , TechNova  ,    3.2,  48.57,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , beauty;budget
 73, Durable Running Shoes               , This durable running shoes by GlowUp is a top-tier choice in our fashion section.                     , 298.95, Fashion       , GlowUp    ,    3.5, 332.17,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , fashion;midrange
 74, Ergonomic Bluetooth Speaker         , This ergonomic bluetooth speaker by StyleCo is a top-tier choice in our electronics section.          , 192.07, Electronics   , StyleCo   ,    3.1, 213.41,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
 75, Waterproof Running Shoes            , This waterproof running shoes by Vanguard is a top-tier choice in our fashion section.                ,  69.48, Fashion       , Vanguard  ,    3.3,  77.20,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
 76, High-Performance Toaster            , This high-performance toaster by Zenith is a top-tier choice in our home & kitchen section.           , 319.90, Home & Kitchen, Zenith    ,    4.9, 355.44,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
 77, High-Performance Air Fryer          , This high-performance air fryer by BookWorm is a top-tier choice in our home & kitchen section.       , 291.64, Home & Kitchen, BookWorm  ,    3.0, 324.04,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
 78, High-Performance Sunglasses         , This high-performance sunglasses by Zenith is a top-tier choice in our fashion section.               , 390.00, Fashion       , Zenith    ,    4.4, 433.33,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
 79, Lightweight Mystery Paperback       , This lightweight mystery paperback by Zenith is a top-tier choice in our books section.               , 358.42, Books         , Zenith    ,    3.5, 398.24,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
 80, Ergonomic Jump Rope                 , This ergonomic jump rope by TechNova is a top-tier choice in our sports section.                      ,  59.93, Sports        , TechNova  ,    4.0,  66.59,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , sports;budget
 81, Waterproof Backpack                 , This waterproof backpack by Apex is a top-tier choice in our fashion section.                         , 189.50, Fashion       , Apex      ,    4.2, 210.56,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
 82, Premium Yoga Mat                    , This premium yoga mat by GlowUp is a top-tier choice in our sports section.                           , 275.00, Sports        , GlowUp    ,    4.6, 305.56,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , sports;midrange
 83, Lightweight Lipstick                , This lightweight lipstick by Vanguard is a top-tier choice in our beauty section.                     ,  82.75, Beauty        , Vanguard  ,    4.1,  91.94,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , beauty;budget
 84, Ergonomic Bluetooth Speaker         , This ergonomic bluetooth speaker by Zenith is a top-tier choice in our electronics section.           , 329.10, Electronics   , Zenith    ,    3.9, 365.67,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 85, Portable Cookbook                   , This portable cookbook by BookWorm is a top-tier choice in our books section.                         ,  58.60, Books         , BookWorm  ,    3.7,  65.11,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
 86, Durable Tennis Racket               , This durable tennis racket by ActiveGear is a top-tier choice in our sports section.                  , 245.40, Sports        , ActiveGear,    3.5, 272.67,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
 87, Stylish Smart Watch                 , This stylish smart watch by StyleCo is a top-tier choice in our electronics section.                  , 312.00, Electronics   , StyleCo   ,    4.4, 346.67,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 88, Premium Air Fryer                   , This premium air fryer by HomeEase is a top-tier choice in our home & kitchen section.                , 410.55, Home & Kitchen, HomeEase  ,    4.8, 456.17,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
 89, Portable Perfume                    , This portable perfume by TechNova is a top-tier choice in our beauty section.                         , 134.20, Beauty        , TechNova  ,    3.4, 149.11,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
 90, Ergonomic Jump Rope                 , This ergonomic jump rope by Vanguard is a top-tier choice in our sports section.                      , 228.75, Sports        , Vanguard  ,    4.3, 254.17,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
 91, Lightweight Hoodie                  , This lightweight hoodie by Apex is a top-tier choice in our fashion section.                          ,  94.30, Fashion       , Apex      ,    3.8, 104.78,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
 92, Premium Shampoo                     , This premium shampoo by GlowUp is a top-tier choice in our beauty section.                            , 168.90, Beauty        , GlowUp    ,    4.5, 187.67,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
 93, High-Performance Digital Camera     , This high-performance digital camera by ActiveGear is a top-tier choice in our electronics section.   , 512.00, Electronics   , ActiveGear,    4.7, 568.89,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
 94, Portable Mystery Paperback          , This portable mystery paperback by StyleCo is a top-tier choice in our books section.                 ,  73.45, Books         , StyleCo   ,    3.6,  81.61,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
 95, Durable Backpack                    , This durable backpack by Zenith is a top-tier choice in our fashion section.                          , 286.70, Fashion       , Zenith    ,    4.0, 318.56,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , fashion;midrange
 96, Lightweight Water Bottle            , This lightweight water bottle by GlowUp is a top-tier choice in our sports section.                   , 142.60, Sports        , GlowUp    ,    4.2, 158.44,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
 97, Ergonomic Blender                   , This ergonomic blender by HomeEase is a top-tier choice in our home & kitchen section.                , 367.80, Home & Kitchen, HomeEase  ,    4.1, 408.67,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
 98, Portable Face Cream                 , This portable face cream by Vanguard is a top-tier choice in our beauty section.                      , 119.99, Beauty        , Vanguard  ,    3.9, 133.32,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
 99, Premium Coffee Maker                , This premium coffee maker by Apex is a top-tier choice in our home & kitchen section.                 , 259.50, Home & Kitchen, Apex      ,    4.6, 288.33,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
100, Lightweight Running Shoes           , This lightweight running shoes by TechNova is a top-tier choice in our fashion section.               , 333.33, Fashion       , TechNova  ,    4.5, 370.37,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
101, Durable Cookbook                    , This durable cookbook by BookWorm is a top-tier choice in our books section.                          ,  87.10, Books         , BookWorm  ,    4.0,  96.78,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
102, Waterproof Lipstick                 , This waterproof lipstick by ActiveGear is a top-tier choice in our beauty section.                    , 176.45, Beauty        , ActiveGear,    3.3, 196.06,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
